		A/J, 3 : 28-0,2,1,0,1		A/9, 3 : 25-0,0,3,2,0		A/7, 3 : 30-1,2,1,1,3	A/6, 3 : 28-0,0,1,0,2		A/4, 3 : 26-0,2,0,0,2		
A/K, 4 : 34-1,2,1,4,4	A/Q, 4 : 25-4,2,2,3,0	A/J, 4 : 23-1,0,0,4,2	A/10, 4 : 23-3,0,0,4,4	A/9, 4 : 23-4,0,0,1,1		A/7, 4 : 27-0,0,2,1,3					
A/K, 5 : 30-0,0,3,5,0	A/Q, 5 : 25-0,0,0,0,5	A/J, 5 : 20-4,5,0,0,1	A/10, 5 : 20-5,5,0,0,4		A/8, 5 : 31-4,4,5,0,0	A/7, 5 : 26-0,5,4,0,0	A/6, 5 : 26-0,4,3,1,0	A/5, 5 : 16-2,5,0,4,4	A/4, 5 : 19-1,0,2,1,1	A/3, 5 : 27-0,3,3,5,4	A/2, 5 : 15-1,1,5,0,0
A/K, 6 : 33-2,1,0,2,0	A/Q, 6 : 21-1,4,6,0,0	A/J, 6 : 19-5,0,4,3,0	A/10, 6 : 20-0,5,3,0,6	A/9, 6 : 27-4,3,1,0,0	A/8, 6 : 29-0,5,0,4,0	A/7, 6 : 22-1,6,0,0,5	A/6, 6 : 28-6,0,2,5,0	A/5, 6 : 15-3,0,4,2,1	A/4, 6 : 26-5,0,2,6,4	A/3, 6 : 30-1,4,0,3,0	A/2, 6 : 13-0,2,0,4,3
A/K, 7 : 28-0,5,1,2,0	A/Q, 7 : 17-5,0,4,0,6	A/J, 7 : 17-0,0,4,3,6	A/10, 7 : 16-1,7,5,0,0	A/9, 7 : 23-7,6,3,0,6	A/8, 7 : 19-6,5,0,0,4	A/7, 7 : 16-0,7,0,3,0	A/6, 7 : 23-7,5,2,0,0	A/5, 7 : 10-3,1,0,4,2	A/4, 7 : 17-3,0,0,2,6	A/3, 7 : 25-0,3,1,5,0	A/2, 7 : 17-2,0,4,2,0
A/K, 8 : 23-0,4,1,0,0	A/Q, 8 : 24-7,0,5,3,0	A/J, 8 : 16-0,7,0,8,3	A/10, 8 : 11-6,7,0,5,0	A/9, 8 : 19-8,0,5,0,6	A/8, 8 : 19-6,0,5,0,0	A/7, 8 : 7-0,0,0,4,1	A/6, 8 : 23-0,0,1,4,3	A/5, 8 : 11-2,0,0,5,0	A/4, 8 : 19-1,0,5,0,3	A/3, 8 : 24-7,0,0,3,4	A/2, 8 : 11-0,2,0,5,0
											
											

				K/9, 3 : 50-0,2,1,3,3	K/8, 3 : 49-3,0,1,1,2					K/3, 3 : 47-0,0,2,3,3	
K/A, 4 : 38-2,1,4,3,1		K/J, 4 : 37-0,2,0,0,2	K/10, 4 : 49-0,2,0,2,0	K/9, 4 : 48-4,3,1,3,2	K/8, 4 : 41-2,2,0,2,2	K/7, 4 : 36-1,3,2,4,3		K/5, 4 : 50-3,1,0,1,0		K/3, 4 : 40-3,0,4,3,0	
K/A, 5 : 32-3,3,1,5,3	K/Q, 5 : 38-0,2,0,2,5	K/J, 5 : 38-3,5,0,2,0	K/10, 5 : 43-1,0,2,0,5	K/9, 5 : 42-1,5,0,5,4	K/8, 5 : 38-0,4,0,5,0	K/7, 5 : 33-4,0,3,0,2	K/6, 5 : 37-0,1,5,5,5	K/5, 5 : 48-0,2,0,2,2	K/4, 5 : 37-1,1,5,2,5	K/3, 5 : 40-3,0,0,0,3	K/2, 5 : 48-0,2,0,0,0
