TA, 3 : 25-0,0,3,0,0	TK, 3 : 40-0,0,0,3,0					T8, 3 : 44-0,0,0,0,0		T6, 3 : 27-0,3,0,0,0	T5, 3 : 4-0,0,0,0,2		T3, 3 : 45-0,2,0,0,0	T2, 3 : 7-0,0,0,0,2
TA, 4 : 19-0,0,0,0,4	TK, 4 : 37-0,2,0,0,2	TQ, 4 : 10-2,0,0,0,0	TJ, 4 : 29-0,0,0,0,0	T10, 4 : 5-0,0,0,0,4		T8, 4 : 39-0,0,0,4,0		T6, 4 : 22-0,0,0,4,0	T5, 4 : 6-0,0,0,0,4	T4, 4 : 17-3,0,0,0,4	T3, 4 : 40-0,0,2,0,0	T2, 4 : 3-0,0,4,0,2
TA, 5 : 15-0,0,5,0,0	TK, 5 : 38-0,0,0,0,0	TQ, 5 : 7-0,0,0,0,3	TJ, 5 : 18-5,0,0,0,3	T10, 5 : 1-0,3,5,0,0	T9, 5 : 3-2,5,0,0,0	T8, 5 : 36-0,5,0,0,3	T7, 5 : 12-3,5,0,0,0	T6, 5 : 19-0,0,0,0,3	T5, 5 : 3-0,0,0,0,4	T4, 5 : 14-5,0,0,0,4	T3, 5 : 27-0,0,0,5,3	T2, 5 : 48-4,0,0,0,0
TA, 6 : 22-0,6,0,0,5	TK, 6 : 37-0,0,0,0,2	TQ, 6 : 0-0,0,0,4,0	TJ, 6 : 18-0,0,0,5,6	T10, 6 : 14-3,0,0,0,0	T9, 6 : 50-6,0,4,0,0	T8, 6 : 32-0,0,3,0,3	T7, 6 : 16-6,0,0,3,0	T6, 6 : 28-0,5,0,0,0	T5, 6 : 3-6,4,0,0,0	T4, 6 : 8-0,0,0,3,0	T3, 6 : 30-0,0,0,2,0	T2, 6 : 43-0,3,0,6,0
TA, 7 : 16-0,7,5,0,0	TK, 7 : 28-0,7,0,4,0	TQ, 7 : 9-0,6,0,0,7	TJ, 7 : 13-0,0,6,0,7	T10, 7 : 33-0,4,0,0,7	T9, 7 : 0-0,0,0,0,7	T8, 7 : 42-5,0,0,0,0	T7, 7 : 39-0,0,0,0,7	T6, 7 : 27-0,7,0,0,3	T5, 7 : 6-0,5,0,0,0	T4, 7 : 46-7,0,0,5,0	T3, 7 : 25-0,0,0,2,0	T2, 7 : 40-0,5,0,0,3
TA, 8 : 11-0,0,0,5,0	TK, 8 : 23-0,0,4,0,0	TQ, 8 : 6-0,0,0,0,7	TJ, 8 : 9-0,0,0,0,0	T10, 8 : 1-0,0,8,0,0	T9, 8 : 48-8,0,0,0,0	T8, 8 : 16-8,0,0,7,0	T7, 8 : 7-0,0,0,0,7	T6, 8 : 18-0,0,0,0,0	T5, 8 : 2-0,0,8,0,0	T4, 8 : 14-0,7,0,0,0	T3, 8 : 24-0,0,0,0,4	T2, 8 : 36-0,0,0,0,3
TA, 9 : 47-4,0,0,0,0	TK, 9 : 17-0,0,8,0,9	TQ, 9 : 3-0,9,0,0,0	TJ, 9 : 40-0,0,0,0,0	T10, 9 : 8-0,0,0,0,0	T9, 9 : 21-7,0,0,0,0	T8, 9 : 32-0,6,0,0,0	T7, 9 : 1-0,5,0,0,0	T6, 9 : 49-0,0,0,9,0	T5, 9 : 0-9,0,0,0,0	T4, 9 : 2-0,0,0,0,0	T3, 9 : 14-0,0,0,0,9	T2, 9 : 7-0,3,0,0,0
TA, 10 : 1-0,0,0,4,0	TK, 10 : 13-0,0,0,0,0	TQ, 10 : 24-0,10,0,0,0	TJ, 10 : 3-0,10,0,8,0	T10, 10 : 6-10,0,0,8,0	T9, 10 : 16-0,0,0,10,0	T8, 10 : 27-0,0,9,0,0	T7, 10 : 17-0,0,9,0,0	T6, 10 : 8-0,0,10,4,0	T5, 10 : 0-0,3,7,0,0	T4, 10 : 9-10,0,9,0,0	T3, 10 : 40-0,0,0,0,4	T2, 10 : 31-0,10,0,0,2

S(A), 3 : 38-0,0,1,3,0	S(K), 3 : 41-0,1,2,0,3	S(Q), 3 : 21-3,2,0,0,0	S(J), 3 : 32-3,2,0,0,0	S(10), 3 : 32-3,2,3,0,0	S(9), 3 : 1-0,2,0,3,2	S(8), 3 : 22-0,2,1,0,0	S(7), 3 : 20-0,3,0,0,2	S(6), 3 : 46-3,0,2,0,3	S(5), 3 : 20-1,3,0,0,0			
S(A), 4 : 41-0,0,2,2,0	S(K), 4 : 41-0,0,0,0,0	S(Q), 4 : 13-0,4,0,3,0	S(J), 4 : 28-4,0,1,0,3	S(10), 4 : 2-0,1,0,3,4	S(9), 4 : 2-0,1,0,0,4	S(8), 4 : 42-0,1,0,0,0	S(7), 4 : 42-0,0,0,0,0	S(6), 4 : 50-0,0,2,3,4	S(5), 4 : 15-0,1,0,4,0			
S(A), 5 : 35-0,0,4,0,5	S(K), 5 : 39-0,0,5,3,0	S(Q), 5 : 21-0,4,0,0,5	S(J), 5 : 41-0,3,0,0,0	S(10), 5 : 22-4,1,0,0,0	S(9), 5 : 22-0,1,0,0,0	S(8), 5 : 0-5,0,0,0,0	S(7), 5 : 17-3,0,0,0,0	S(6), 5 : 43-0,5,0,4,0	S(5), 5 : 45-5,4,0,0,5			
S(A), 6 : 5-0,0,6,6,0	S(K), 6 : 39-0,4,0,0,0	S(Q), 6 : 6-0,5,0,1,0	S(J), 6 : 17-0,3,6,0,0	S(10), 6 : 45-2,0,1,0,0	S(9), 6 : 12-0,5,1,0,0	S(8), 6 : 32-0,1,2,0,0	S(7), 6 : 9-0,5,0,5,0	S(6), 6 : 38-1,0,4,0,0	S(5), 6 : 1-6,0,0,1,0			
S(A), 7 : 19-0,0,0,5,7	S(K), 7 : 36-0,6,0,0,5	S(Q), 7 : 50-0,0,5,6,0	S(J), 7 : 40-0,2,0,5,0	S(10), 7 : 30-0,0,3,0,7	S(9), 7 : 11-0,0,3,0,0	S(8), 7 : 11-0,0,4,0,0	S(7), 7 : 13-0,0,0,3,0	S(6), 7 : 13-7,0,0,4,0	S(5), 7 : 33-0,7,0,7,0			
S(A), 8 : 21-3,2,0,0,0	S(K), 8 : 37-0,0,0,5,7	S(Q), 8 : 40-8,0,0,5,0	S(J), 8 : 1-0,5,0,0,4	S(10), 8 : 7-7,0,3,0,0	S(9), 8 : 7-7,0,4,0,0	S(8), 8 : 46-0,0,5,7,0	S(7), 8 : 30-8,0,0,6,0	S(6), 8 : 41-8,8,0,0,0	S(5), 8 : 32-0,0,4,8,0			
S(A), 9 : 8-0,7,0,9,0	S(K), 9 : 18-8,0,0,4,0	S(Q), 9 : 47-0,9,0,4,9	S(J), 9 : 48-8,0,0,3,0	S(10), 9 : 30-0,5,8,0,0	S(9), 9 : 30-0,8,0,5,0	S(8), 9 : 20-0,9,8,0,0	S(7), 9 : 30-0,0,6,5,0	S(6), 9 : 3-9,0,8,0,0	S(5), 9 : 26-0,3,4,0,0			
S(A), 10 : 14-0,10,0,10,0	S(K), 10 : 4-0,0,6,0,10	S(Q), 10 : 46-0,0,0,6,0	S(J), 10 : 39-0,0,0,10,0	S(10), 10 : 16-0,8,0,0,0	S(9), 10 : 17-0,7,0,0,0	S(8), 10 : 17-0,10,0,10,0	S(7), 10 : 8-0,5,0,0,0	S(6), 10 : 22-0,0,0,0,0	S(5), 10 : 22-0,3,0,0,0			

F(S,A), 3 : 31-2,3,0,3,0	F(S,K), 3 : 51-2,3,0,3,0	F(S,Q), 3 : 3-0,2,0,2,3	F(S,J), 3 : 31-2,3,0,3,0									
F(S,A), 4 : 21-0,2,0,4,3	F(S,K), 4 : 50-3,0,2,0,4	F(S,Q), 4 : 4-0,0,2,3,4	F(S,J), 4 : 21-0,2,0,4,3									
F(S,A), 5 : 28-0,0,2,1,0	F(S,K), 5 : 28-0,0,5,3,0	F(S,Q), 5 : 2-5,0,2,2,0	F(S,J), 5 : 9-0,0,5,3,4		F(S,9), 5 : 4-2,0,0,5,3							
F(S,A), 6 : 34-0,0,6,0,0	F(S,K), 6 : 34-0,0,6,0,0	F(S,Q), 6 : 0-0,0,6,6,3	F(S,J), 6 : 2-0,0,5,6,6	F(S,10), 6 : 13-0,0,2,6,6	F(S,9), 6 : 1-6,6,0,0,2	F(S,8), 6 : 13-0,0,2,6,3	F(S,7), 6 : 33-5,1,1,6,3					
F(S,A), 7 : 5-0,0,7,0,0	F(S,K), 7 : 18-0,7,7,0,0	F(S,Q), 7 : 5-0,0,7,0,0	F(S,J), 7 : 12-0,7,0,0,4	F(S,10), 7 : 30-7,0,2,0,7	F(S,9), 7 : 44-2,0,7,6,0	F(S,8), 7 : 11-7,0,2,7,0	F(S,7), 7 : 44-2,0,2,6,0					
F(S,A), 8 : 0-0,4,8,8,0	F(S,K), 8 : 45-0,5,3,0,0	F(S,Q), 8 : 3-8,0,0,6,8	F(S,J), 8 : 0-0,6,8,8,0	F(S,10), 8 : 36-0,2,0,6,8	F(S,9), 8 : 6-0,5,3,0,0	F(S,8), 8 : 6-2,5,3,0,0	F(S,7), 8 : 6-2,5,5,0,0	F(S,6), 8 : 50-0,2,5,5,0				
F(S,A), 9 : 15-9,0,7,2,0	F(S,K), 9 : 35-0,0,5,0,6	F(S,Q), 9 : 49-0,6,9,0,5	F(S,J), 9 : 51-0,6,9,7,0	F(S,10), 9 : 31-0,4,0,2,9	F(S,9), 9 : 31-0,6,0,8,9	F(S,8), 9 : 1-5,0,6,9,0	F(S,7), 9 : 1-5,0,8,9,0	F(S,6), 9 : 1-5,0,8,9,3				
F(S,A), 10 : 3-10,6,0,7,0	F(S,K), 10 : 3-10,6,0,10,0	F(S,Q), 10 : 48-0,6,10,7,0	F(S,J), 10 : 4-0,10,9,0,2	F(S,10), 10 : 8-10,7,0,6,0	F(S,9), 10 : 28-0,2,0,8,10	F(S,8), 10 : 30-0,6,0,10,7	F(S,7), 10 : 8-10,9,0,8,0	F(S,6), 10 : 8-10,9,0,2,0				

F(H,A), 3 : 45-2,0,0,1,3	F(H,K), 3 : 45-2,0,0,1,3	F(H,Q), 3 : 8-1,2,1,3,2										
F(H,A), 4 : 45-2,2,1,0,0	F(H,K), 4 : 1-2,0,0,2,0	F(H,Q), 4 : 5-0,0,2,0,1	F(H,J), 4 : 20-1,0,0,2,4	F(H,10), 4 : 1-1,0,0,2,0								
F(H,A), 5 : 36-0,5,0,3,0	F(H,K), 5 : 36-0,5,0,4,0	F(H,Q), 5 : 7-5,3,0,5,0	F(H,J), 5 : 36-0,5,0,3,0	F(H,10), 5 : 41-5,0,3,0,5	F(H,9), 5 : 8-0,2,3,0,5							
F(H,A), 6 : 49-2,0,0,0,6	F(H,K), 6 : 49-0,0,0,0,6	F(H,Q), 6 : 16-0,0,0,6,6	F(H,J), 6 : 35-0,0,4,1,0	F(H,10), 6 : 3-0,0,0,6,6	F(H,9), 6 : 9-0,0,6,5,1	F(H,8), 6 : 41-0,4,1,0,2	F(H,7), 6 : 7-0,2,2,6,3					
F(H,A), 7 : 39-7,5,7,0,0	F(H,K), 7 : 20-7,0,0,6,0	F(H,Q), 7 : 40-0,0,0,4,6	F(H,J), 7 : 6-0,7,7,0,0	F(H,10), 7 : 40-0,0,0,4,5	F(H,9), 7 : 44-0,3,0,7,7	F(H,8), 7 : 19-2,6,1,0,0	F(H,7), 7 : 44-0,3,0,2,1					
F(H,A), 8 : 33-0,6,2,0,0	F(H,K), 8 : 33-0,6,6,0,0	F(H,Q), 8 : 7-0,7,8,3,0	F(H,J), 8 : 33-0,6,2,0,0	F(H,10), 8 : 46-0,7,3,3,0	F(H,9), 8 : 41-6,2,0,0,7	F(H,8), 8 : 7-0,6,8,3,0	F(H,7), 8 : 43-0,3,0,6,8	F(H,6), 8 : 0-2,5,5,0,2				
F(H,A), 9 : 38-0,4,0,0,9	F(H,K), 9 : 38-0,8,0,0,9	F(H,Q), 9 : 38-0,4,0,0,9	F(H,J), 9 : 5-9,7,0,0,9	F(H,10), 9 : 2-7,9,8,3,0	F(H,9), 9 : 20-8,3,0,4,0	F(H,8), 9 : 38-0,4,0,2,9	F(H,7), 9 : 6-0,6,8,1,0	F(H,6), 9 : 5-8,7,0,2,9				
F(H,A), 10 : 11-0,10,0,0,0	F(H,K), 10 : 11-0,10,0,0,4	F(H,Q), 10 : 11-0,1,0,0,0	F(H,J), 10 : 11-0,10,0,0,0	F(H,10), 10 : 11-0,10,3,0,0	F(H,9), 10 : 17-10,5,0,4,0	F(H,8), 10 : 37-0,4,0,6,7	F(H,7), 10 : 44-0,10,3,0,2	F(H,6), 10 : 44-0,10,9,0,2				

F(C,A), 3 : 26-0,1,0,1,3	F(C,K), 3 : 7-0,1,0,1,3	F(C,Q), 3 : 26-0,1,0,1,3										
F(C,A), 4 : 22-1,0,4,2,0	F(C,K), 4 : 3-1,0,4,2,0	F(C,Q), 4 : 22-1,0,4,2,0	F(C,J), 4 : 31-0,1,3,4,2	F(C,10), 4 : 3-1,3,4,2,0	F(C,9), 4 : 22-1,3,4,2,0							
F(C,A), 5 : 10-5,2,3,0,0	F(C,K), 5 : 43-0,1,3,0,0	F(C,Q), 5 : 5-0,5,2,3,0	F(C,J), 5 : 37-0,5,2,4,0	F(C,10), 5 : 11-0,1,2,3,0	F(C,9), 5 : 19-4,0,5,2,3	F(C,8), 5 : 3-1,2,3,0,5	F(C,7), 5 : 9-1,2,4,0,5					
F(C,A), 6 : 5-0,0,0,0,0	F(C,K), 6 : 5-0,0,0,0,0	F(C,Q), 6 : 18-5,0,0,0,0	F(C,J), 6 : 44-5,0,0,0,6	F(C,10), 6 : 11-0,0,0,0,6	F(C,9), 6 : 18-5,5,0,0,0	F(C,8), 6 : 50-0,0,0,6,6	F(C,7), 6 : 17-0,0,0,6,6					
F(C,A), 7 : 28-0,0,0,0,0	F(C,K), 7 : 28-0,0,0,0,0	F(C,Q), 7 : 2-7,0,0,0,5	F(C,J), 7 : 21-7,0,0,0,0	F(C,10), 7 : 34-7,0,7,0,0	F(C,9), 7 : 8-7,7,0,0,6	F(C,8), 7 : 21-7,0,0,6,0	F(C,7), 7 : 2-7,0,0,6,5	F(C,6), 7 : 14-2,7,0,0,6				
F(C,A), 8 : 47-8,0,5,4,0	F(C,K), 8 : 40-0,0,7,4,8	F(C,Q), 8 : 9-0,6,5,8,0	F(C,J), 8 : 9-0,6,4,8,0	F(C,10), 8 : 2-0,7,5,8,0	F(C,9), 8 : 48-0,6,4,8,0	F(C,8), 8 : 40-0,0,6,4,8	F(C,7), 8 : 2-0,6,5,8,0	F(C,6), 8 : 21-0,6,5,3,8				
F(C,A), 9 : 20-0,6,9,0,6	F(C,K), 9 : 3-8,4,0,5,0	F(C,Q), 9 : 24-6,0,6,5,0	F(C,J), 9 : 33-0,7,5,0,6	F(C,10), 9 : 11-6,0,6,9,0	F(C,9), 9 : 20-0,7,9,0,6	F(C,8), 9 : 20-0,6,9,0,6	F(C,7), 9 : 17-6,0,7,4,0	F(C,6), 9 : 26-0,7,4,0,6				
F(C,A), 10 : 19-0,6,0,7,0	F(C,K), 10 : 32-0,6,0,1,0	F(C,Q), 10 : 32-0,6,0,6,0	F(C,J), 10 : 19-0,6,0,7,0	F(C,10), 10 : 38-0,8,0,1,0	F(C,9), 10 : 38-0,8,0,7,0	F(C,8), 10 : 18-10,7,0,8,0	F(C,7), 10 : 12-10,7,0,6,0	F(C,6), 10 : 32-0,6,0,6,9				

F(D,A), 3 : 15-0,2,0,2,3	F(D,K), 3 : 30-1,3,0,3,0	F(D,Q), 3 : 44-1,0,2,3,0	F(D,J), 3 : 15-0,2,0,2,3									
F(D,A), 4 : 16-0,0,2,3,4	F(D,K), 4 : 35-0,0,2,3,1	F(D,Q), 4 : 33-0,2,0,4,3	F(D,J), 4 : 16-0,0,2,3,4									
F(D,A), 5 : 27-4,0,5,3,0	F(D,K), 5 : 32-0,5,3,0,0	F(D,Q), 5 : 32-0,2,3,0,0	F(D,J), 5 : 14-5,0,2,2,0	F(D,10), 5 : 16-2,0,0,5,3								
F(D,A), 6 : 13-6,6,0,0,0	F(D,K), 6 : 13-6,6,0,0,0	F(D,Q), 6 : 27-4,0,0,6,0	F(D,J), 6 : 46-0,5,1,0,0	F(D,10), 6 : 13-6,6,0,0,2	F(D,9), 6 : 46-0,5,1,0,2	F(D,8), 6 : 6-1,0,2,6,6	F(D,7), 6 : 25-0,0,2,6,3					
