	A+K, 3 : 38-2,2,0,3,0	A+Q, 3 : 20-2,0,3,2,0	A+J, 3 : 21-0,0,3,0,2		A+9, 3 : 25-0,0,0,2,0		A+7, 3 : 31-3,0,0,0,0	A+6, 3 : 28-0,0,0,0,2		A+4, 3 : 23-0,0,2,0,0	A+3, 3 : 38-2,0,3,0,1	
	A+K, 4 : 35-4,0,0,0,0	A+Q, 4 : 18-0,0,0,1,1	A+J, 4 : 20-0,0,4,3,0	A+10, 4 : 23-3,0,0,0,4	A+9, 4 : 20-0,0,3,0,0	A+8, 4 : 39-1,0,0,0,0	A+7, 4 : 19-0,0,0,0,2	A+6, 4 : 23-0,0,0,0,3	A+5, 4 : 15-3,0,0,0,0	A+4, 4 : 34-0,2,0,4,0	A+3, 4 : 28-0,3,0,0,0	A+2, 4 : 15-0,2,0,0,0
	A+K, 5 : 30-0,0,3,0,0	A+Q, 5 : 20-0,0,0,0,0	A+J, 5 : 26-0,2,0,0,0	A+10, 5 : 11-5,0,0,0,4	A+9, 5 : 31-0,4,0,0,5	A+8, 5 : 31-4,0,5,0,0	A+7, 5 : 26-0,5,0,0,0	A+6, 5 : 26-0,3,5,0,0	A+5, 5 : 15-3,0,2,0,0	A+4, 5 : 15-0,0,4,0,0	A+3, 5 : 35-0,0,0,1,0	A+2, 5 : 11-0,0,0,0,4
	A+K, 6 : 25-0,4,0,0,0	A+Q, 6 : 33-6,0,0,0,6	A+J, 6 : 19-5,0,4,0,0	A+10, 6 : 20-0,5,0,0,6	A+9, 6 : 10-4,0,0,6,0	A+8, 6 : 29-0,5,0,0,0	A+7, 6 : 16-6,0,6,0,0	A+6, 6 : 28-0,0,0,5,0	A+5, 6 : 7-0,5,0,0,4	A+4, 6 : 23-0,0,5,0,6	A+3, 6 : 30-0,4,0,3,0	A+2, 6 : 10-0,3,0,6,0
	A+K, 7 : 28-0,5,0,4,0	A+Q, 7 : 17-5,0,0,0,6	A+J, 7 : 17-0,0,0,3,6	A+10, 7 : 33-0,0,4,0,7	A+9, 7 : 7-0,0,0,0,5	A+8, 7 : 12-0,6,5,0,0	A+7, 7 : 16-0,7,0,0,0	A+6, 7 : 23-7,4,0,0,0	A+5, 7 : 6-0,0,0,7,6	A+4, 7 : 17-3,0,0,0,6	A+3, 7 : 25-0,7,0,5,0	A+2, 7 : 5-0,0,2,5,0
	A+K, 8 : 23-0,8,0,0,0	A+Q, 8 : 24-7,0,5,0,0	A+J, 8 : 8-0,0,7,0,8	A+10, 8 : 11-0,7,0,8,0	A+9, 8 : 19-8,0,0,0,6	A+8, 8 : 19-6,0,0,0,0	A+7, 8 : 43-0,0,0,0,0	A+6, 8 : 18-0,8,0,8,0	A+5, 8 : 11-2,0,0,0,0	A+4, 8 : 11-8,0,0,3,0	A+3, 8 : 16-0,0,0,0,3	A+2, 8 : 11-0,2,0,0,0
	A+K, 9 : 17-0,0,5,0,9	A+Q, 9 : 4-8,0,0,0,0	A+J, 9 : 6-0,0,0,2,0	A+10, 9 : 42-0,0,0,0,0	A+9, 9 : 21-9,9,0,0,0	A+8, 9 : 47-0,3,0,0,0	A+7, 9 : 22-0,0,6,0,0	A+6, 9 : 13-0,0,0,2,0	A+5, 9 : 4-0,5,0,0,0	A+4, 9 : 47-7,0,7,0,0	A+3, 9 : 4-4,0,0,0,9	A+2, 9 : 7-0,0,9,6,0
	A+K, 10 : 33-0,8,0,0,0	A+Q, 10 : 1-10,10,0,0,0	A+J, 10 : 4-0,0,10,7,7	A+10, 10 : 21-0,0,0,0,8	A+9, 10 : 30-0,10,7,0,0	A+8, 10 : 37-0,4,0,0,0	A+7, 10 : 5-0,0,0,10,6	A+6, 10 : 11-0,0,10,0,7	A+5, 10 : 30-0,10,0,0,9	A+4, 10 : 41-0,0,10,0,10	A+3, 10 : 10-0,10,0,0,0	A+2, 10 : 11-0,0,0,0,1

K+A, 3 : 38-2,2,0,3,0			K+J, 3 : 37-3,0,0,0,3	K+10, 3 : 2-1,3,0,0,0	K+9, 3 : 51-3,0,0,0,0	K+8, 3 : 47-0,0,0,0,3			K+5, 3 : 50-0,2,0,0,0		K+3, 3 : 47-0,0,0,3,3	
